uri	danceability	energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	id	duration_ms	time_signature	playlist_pid	avg_duration	mode_key	dance_energy_corr
spotify:track:7zBPzAjKAqQpcv8F8GCq5s	0.779	0.455	1	-15.025	1	0.28	0.0542	0.0	0.177	0.197	140.181	7zBPzAjKAqQpcv8F8GCq5s	153429	4	shower songs _52000	214801.5294117647	1	0.1414805657075382
spotify:track:14WWzenpaEgQZlqPq2nk4v	0.725	0.534	11	-6.238	1	0.0946	0.0752	0.0	0.0919	0.558	91.974	14WWzenpaEgQZlqPq2nk4v	219320	4	shower songs _52000	214801.5294117647	1	0.1414805657075382
spotify:track:2ZRJRe82aZaVhOKKlbJr4v	0.595	0.46	1	-7.607	1	0.396	0.00354	2.76e-05	0.147	0.0542	144.988	2ZRJRe82aZaVhOKKlbJr4v	202451	4	shower songs _52000	214801.5294117647	1	0.1414805657075382
spotify:track:43PuMrRfbyyuz4QpZ3oAwN	0.525	0.433	6	-10.598	1	0.185	0.107	0.0	0.135	0.276	160.108	43PuMrRfbyyuz4QpZ3oAwN	194613	4	shower songs _52000	214801.5294117647	1	0.1414805657075382
spotify:track:1xznGGDReH1oQq0xzbwXa3	0.791	0.619	1	-5.886	1	0.0532	0.00784	0.00423	0.351	0.371	103.989	1xznGGDReH1oQq0xzbwXa3	173987	4	shower songs _52000	214801.5294117647	1	0.1414805657075382
spotify:track:3pXF1nA74528Edde4of9CC	0.765	0.356	11	-5.556	0	0.195	0.223	0.0	0.0963	0.189	96.991	3pXF1nA74528Edde4of9CC	198293	4	shower songs _52000	214801.5294117647	1	0.1414805657075382
spotify:track:7qqOmEfeTPgjBsm1Qm98eg	0.4	0.705	0	-5.238	1	0.0484	0.0167	0.0	0.115	0.294	90.047	7qqOmEfeTPgjBsm1Qm98eg	171899	3	shower songs _52000	214801.5294117647	1	0.1414805657075382
spotify:track:40yJGQyEaBbIkXpwMFkXip	0.764	0.475	0	-12.618	1	0.114	0.345	0.0	0.14	0.34	129.974	40yJGQyEaBbIkXpwMFkXip	243270	4	shower songs _52000	214801.5294117647	1	0.1414805657075382
spotify:track:0msYrhDilTZDyeTuayebkA	0.623	0.607	7	-5.776	1	0.0848	0.5	1.9e-06	0.0726	0.614	133.127	0msYrhDilTZDyeTuayebkA	175262	4	shower songs _52000	214801.5294117647	1	0.1414805657075382
spotify:track:4XkOcWt0C2JX1s2RXybosk	0.812	0.648	2	-4.994	1	0.0887	0.0951	0.0	0.11	0.246	130.022	4XkOcWt0C2JX1s2RXybosk	268115	4	shower songs _52000	214801.5294117647	1	0.1414805657075382
spotify:track:6VZWCq5KEJiIIOb4H3D24z	0.793	0.518	6	-8.642	0	0.0569	0.00156	0.0	0.11	0.188	130.012	6VZWCq5KEJiIIOb4H3D24z	198009	4	shower songs _52000	214801.5294117647	1	0.1414805657075382
spotify:track:16bHRxM89ue0TiCKARYbRp	0.681	0.608	1	-6.093	1	0.207	0.0477	0.0	0.225	0.262	97.934	16bHRxM89ue0TiCKARYbRp	200760	4	shower songs _52000	214801.5294117647	1	0.1414805657075382
spotify:track:1Tt4sE4pXi57mTD1GCzsqm	0.671	0.314	5	-8.091	0	0.244	0.11	0.0	0.0825	0.296	110.898	1Tt4sE4pXi57mTD1GCzsqm	191600	4	shower songs _52000	214801.5294117647	1	0.1414805657075382
spotify:track:6F609ICg9Spjrw1epsAnpa	0.607	0.476	10	-11.076	0	0.249	0.0773	0.0	0.113	0.347	122.976	6F609ICg9Spjrw1epsAnpa	245227	5	shower songs _52000	214801.5294117647	1	0.1414805657075382
spotify:track:5mPSyjLatqB00IkPqRlbTE	0.713	0.462	7	-10.027	1	0.123	0.192	2.16e-06	0.105	0.0594	133.053	5mPSyjLatqB00IkPqRlbTE	212947	4	shower songs _52000	214801.5294117647	1	0.1414805657075382
spotify:track:0B8QzDH7YWih85V5SEMnyJ	0.795	0.568	5	-7.817	0	0.142	0.0541	0.0	0.108	0.478	136.173	0B8QzDH7YWih85V5SEMnyJ	198944	4	shower songs _52000	214801.5294117647	1	0.1414805657075382
spotify:track:08zJpaUQVi9FrKv2e32Bah	0.688	0.556	6	-7.738	1	0.264	0.7	1.87e-06	0.108	0.416	129.336	08zJpaUQVi9FrKv2e32Bah	240320	4	shower songs _52000	214801.5294117647	1	0.1414805657075382
