uri	danceability	energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	duration_ms	time_signature	playlist_pid	avg_duration	mode_key
spotify:track:1yoO94wPL8khknS04ltxkn	0.804	0.632	11	-8.584	1	0.0443	0.0679	0.03	0.159	0.688	124.973	195213	4	Lounge House_84015	195213.0	11
spotify:track:0JXXNGljqupsJaZsgSbMZV	0.684	0.607	11	-8.127	0	0.1	0.0267	0.000307	0.191	0.498	81.001	195373	4	yasssss_84048	195373.0	11
spotify:track:152lZdxL1OR0ZMW6KquMif	0.736	0.449	1	-11.462	0	0.425	0.33	0.000162	0.0898	0.326	80.126	219080	4	¯\_(ツ)_/¯_84032	219080.0	1
spotify:track:0bsMTtWnxQ4lKlfBreueZt	0.394	0.443	1	-5.928	1	0.0414	0.2	7.14e-06	0.268	0.312	103.051	190822	4	13.1_84046	190822.0	1
spotify:track:7aAEJfIzJUUSRXQNz2JzfO	0.516	0.708	9	-4.465	0	0.0253	0.0494	4.6e-06	0.243	0.33	89.938	289067	3	lucid_84019	289067.0	9
spotify:track:6aVJCjQ2cg0yeFRLD6c9vD	0.466	0.828	7	-4.974	1	0.0422	0.137	0.0	0.14	0.595	160.043	240840	4	Centuries_84016	240840.0	7
spotify:track:41XCLKG0xl01mGprBDtTNS	0.722	0.778	7	-5.826	1	0.225	0.0603	0.0	0.282	0.779	96.008	170933	4	Christmas!_84013	170933.0	7
spotify:track:3Y3JVKIKq9VQEKQolgz67k	0.555	0.769	8	-3.959	0	0.0314	0.114	1e-06	0.147	0.541	85.982	315853	4	punjabi songs_84047	315853.0	8
spotify:track:4KAs4IcxluXDFGuV4XCEJa	0.71	0.73	9	-8.381	0	0.0481	0.293	0.105	0.098	0.729	98.015	250587	4	February 2017_84040	250587.0	9
spotify:track:2HHtWyy5CgaQbC7XSoOb0e	0.815	0.438	0	-14.522	0	0.0346	0.216	0.000466	0.0787	0.552	108.965	243773	4	Oldies :)))))_84044	243773.0	0
spotify:track:3koCCeSaVUyrRo3N2gHrd8	0.869	0.648	11	-8.698	0	0.0633	0.121	2.17e-05	0.126	0.9	125.035	339320	4	Old Stuff_84024	339320.0	11
spotify:track:5wsskBPgW3pw876uCa9JX4	0.613	0.739	1	-7.779	0	0.031	0.00322	0.856	0.0842	0.15	128.18	258440	4	House_84007	258440.0	1
spotify:track:6INaSJ4clfZ8pvXSGZQnJ7	0.587	0.731	7	-5.632	1	0.0398	0.12	5.78e-06	0.132	0.539	110.936	268667	4	Covers_84004	268667.0	7
spotify:track:7EOYLyD4pP4YJVgoVeKUQ1	0.707	0.924	7	-2.842	1	0.031	0.000988	0.00731	0.204	0.919	127.937	206413	4	Chill EDM_84020	206413.0	7
spotify:track:1fMCZGliRhTuRzxZbY6iOe	0.657	0.811	5	-4.667	1	0.0419	0.00803	0.00156	0.32	0.289	115.035	212307	4	road_84022	212307.0	5
spotify:track:2NQIRMBIQRMIV0mRQ3l0ug	0.562	0.0431	0	-24.522	1	0.0595	0.362	0.0983	0.347	0.383	129.259	474600	4	To Learn_84043	474600.0	0
spotify:track:5Bd3R6NC2Dw4i53rGuX2nC	0.473	0.832	11	-4.878	0	0.0367	0.000565	0.0	0.234	0.488	149.998	151673	4	jams_84003	151673.0	11
spotify:track:64OpNUSU6mPziG5e5PMrtr	0.779	0.963	2	-2.125	0	0.0399	0.0334	0.493	0.664	0.759	127.942	222187	4	Random Songs_84029	222187.0	2
spotify:track:1AhDOtG9vPSOmsWgNW0BEY	0.414	0.404	0	-9.928	0	0.0499	0.271	0.0	0.3	0.224	71.105	354320	4	Good Stuff_84033	354320.0	0
spotify:track:34oWbFBfGEElvgO0a5c9V4	0.943	0.595	5	-8.372	0	0.191	0.0673	0.0	0.0839	0.815	117.532	165291	4	Lets get it_84023	165291.0	5
spotify:track:7kN3bGZtBKwWwYKSkE3RER	0.632	0.717	0	-8.307	1	0.039	0.138	0.00149	0.0685	0.77	153.942	318840	4	gospel_84038	318840.0	0
spotify:track:4KLj9QjEhJl2WU50mxRF9Z	0.424	0.506	2	-5.877	1	0.0284	0.201	0.0	0.11	0.138	135.902	238200	4	driving songs_84001	238200.0	2
spotify:track:3jyF9eNYpI3vxJWHzcZPIv	0.452	0.192	8	-12.619	1	0.0527	0.916	6.44e-06	0.109	0.409	82.328	147853	4	rn_84012	147853.0	8
spotify:track:2RZYG98Xg6uBl7AkkPEKnU	0.511	0.278	3	-15.056	1	0.111	0.933	0.0	0.582	0.924	201.321	169067	4	Hotel California_84025	169067.0	3
spotify:track:11zRKpjEZwmcBBBGzB4pMn	0.751	0.547	8	-6.681	0	0.112	0.0119	0.0	0.114	0.359	127.05	260075	4	Spanish trap_84006	260075.0	8
spotify:track:1K0kv22imM6l4BmZTFsM3j	0.713	0.711	1	-6.165	1	0.0406	0.0442	0.557	0.336	0.371	122.986	319956	4	easy_84010	319956.0	1
spotify:track:1uwTmwkjv7wFImfzegvdI6	0.575	0.746	4	-5.393	1	0.0326	0.00875	0.0	0.768	0.607	109.789	216640	4	Rock_84037	216640.0	4
spotify:track:2JXnsuFhfVgLHPL1mp3xdW	0.561	0.127	7	-12.434	1	0.0482	0.808	0.0	0.135	0.199	76.802	223573	5	<3_84026	223573.0	7
spotify:track:5dZ8PeKKZJLIQAWNTdp8WX	0.208	0.615	2	-15.297	0	0.342	0.769	0.118	0.824	0.101	91.158	502013	4	The Beatles_84045	502013.0	2
spotify:track:6hJSH3jS9jG6khVclppBJw	0.547	0.886	8	-4.017	1	0.0308	0.000619	0.000232	0.193	0.294	145.055	188680	4	twerkout_84039	188680.0	8
spotify:track:3kEQyPfmFknzr0pRBWxWxu	0.638	0.535	9	-7.792	0	0.0415	0.623	0.0391	0.0837	0.504	84.947	277653	4	Diff_84000	277653.0	9
spotify:track:6g1NlCpW7fgqDnWbCCDrHl	0.532	0.783	2	-5.697	1	0.0523	0.0038	0.0012	0.161	0.643	124.08	247427	4	Dub_84027	247427.0	2
spotify:track:4eSGSqP2TZvvX0kadZZttM	0.397	0.172	6	-15.698	0	0.0445	0.841	6.78e-05	0.108	0.123	101.275	265120	4	Chill_84035	265120.0	6
spotify:track:41nFodiQgbNhVrPsLuKZ2a	0.925	0.522	1	-8.28	1	0.443	0.0962	0.0	0.112	0.845	140.018	210973	4	Magnolia_84014	210973.0	1
spotify:track:2QYUhjzK6yUdSFNvYRv1y6	0.77	0.966	9	-4.418	1	0.0908	0.00167	0.0	0.128	0.655	97.755	250122	4	Old school Hip Hop_84042	250122.0	9
spotify:track:3omXshBamrREltcf24gYDC	0.468	0.692	2	-4.015	1	0.0295	0.0202	2.39e-06	0.523	0.561	78.009	200360	4	morning commute_84017	200360.0	2
spotify:track:46eu3SBuFCXWsPT39Yg3tJ	0.878	0.821	11	-9.875	1	0.089	0.126	0.0461	0.183	0.947	118.881	365467	4	Lauren_84018	365467.0	11
spotify:track:5B7xzzpqgWY6sdiebvEVJA	0.261	0.592	7	-4.665	1	0.0317	0.0451	0.0	0.254	0.329	139.242	276173	3	emo_84041	276173.0	7
spotify:track:6w7MrS3kLvynVi18gp4Oay	0.663	0.856	0	-4.083	1	0.0418	0.246	9.84e-05	0.218	0.517	170.042	184947	4	Summer Jams_84030	184947.0	0
spotify:track:0MDmepp3ZFXGqIHjv6jbue	0.805	0.806	7	-6.183	1	0.215	0.296	0.0	0.0659	0.773	92.018	246693	4	Spanish_84002	246693.0	7
spotify:track:445qQk3nyQwmjf4vzDghKd	0.701	0.565	7	-10.709	1	0.0553	0.0736	0.000504	0.193	0.899	153.942	256453	4	Bedtime_84049	256453.0	7
spotify:track:2xKBCHQ34Eq9iuWHSO4BIj	0.651	0.786	9	-5.655	1	0.0495	0.0723	0.0	0.212	0.563	120.014	217413	4	Fall 2016_84011	217413.0	9
spotify:track:6Ius4TC0L3cN74HT7ENE6e	0.517	0.705	6	-8.205	0	0.364	0.0751	0.0	0.128	0.584	175.906	239320	4	Car bangers_84009	239320.0	6
spotify:track:7IwXsqRgHAdcSVAyRuxMQQ	0.65	0.355	5	-7.299	1	0.03	0.727	0.0	0.121	0.189	111.287	279661	4	Jacob_84021	279661.0	5
spotify:track:5edBgVtRD0fvWk140Sl21T	0.662	0.71	1	-4.945	0	0.0364	0.0603	0.0	0.119	0.465	121.979	257267	4	Quince _84028	257267.0	1
spotify:track:0jdny0dhgjUwoIp5GkqEaA	0.543	0.39	10	-7.202	1	0.0322	0.489	0.0	0.111	0.303	73.415	230267	4	stay_84036	230267.0	10
spotify:track:3DXncPQOG4VBw3QHh3S817	0.609	0.668	7	-4.284	1	0.0367	0.0552	0.0	0.167	0.811	80.924	288600	4	Summer 17_84008	288600.0	7
spotify:track:3QBPqp9uOfFwNxkw5idavo	0.661	0.366	7	-8.176	1	0.0415	0.588	0.0	0.134	0.357	129.744	262757	4	Bag_84034	262757.0	7
spotify:track:12qZHAeOyTf93YAWvGDTat	0.442	0.893	0	-4.878	1	0.0505	0.00844	0.0	0.529	0.712	148.119	168000	4	90's_84005	168000.0	0
spotify:track:5zaIgI9HNUPIcfaeVRlxGa	0.857	0.72	4	-5.589	1	0.289	0.108	0.0	0.218	0.729	99.995	203534	4	Tunes_84031	203534.0	4
