uri	danceability	energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	id	duration_ms	time_signature	playlist_pid	avg_duration	mode_key	dance_energy_corr
spotify:track:0UaMYEvWZi0ZqiDOoHU3YI	0.904	0.813	4	-7.105	0	0.121	0.0311	0.00697	0.0471	0.81	125.461	0UaMYEvWZi0ZqiDOoHU3YI	226864	4	Throwbacks_0	221777.46153846153	4	-0.46444214764191305
spotify:track:6I9VzXrHxO9rA9A5euc8Ak	0.774	0.838	5	-3.914	0	0.114	0.0249	0.025	0.242	0.924	143.04	6I9VzXrHxO9rA9A5euc8Ak	198800	4	Throwbacks_0	221777.46153846153	4	-0.46444214764191305
spotify:track:0WqIKmW4BTrj3eJFmnCKMv	0.664	0.758	2	-6.583	0	0.21	0.00238	0.0	0.0598	0.701	99.259	0WqIKmW4BTrj3eJFmnCKMv	235933	4	Throwbacks_0	221777.46153846153	4	-0.46444214764191305
spotify:track:1AWQoqb9bSvzTjaLralEkT	0.892	0.714	4	-6.055	0	0.141	0.201	0.000234	0.0521	0.817	100.972	1AWQoqb9bSvzTjaLralEkT	267267	4	Throwbacks_0	221777.46153846153	4	-0.46444214764191305
spotify:track:1lzr43nnXAijIGYnCT8M8H	0.853	0.606	0	-4.596	1	0.0713	0.0561	0.0	0.313	0.654	94.759	1lzr43nnXAijIGYnCT8M8H	227600	4	Throwbacks_0	221777.46153846153	4	-0.46444214764191305
spotify:track:0XUfyU2QviPAs6bxSpXYG4	0.881	0.788	2	-4.669	1	0.168	0.0212	0.0	0.0377	0.592	104.997	0XUfyU2QviPAs6bxSpXYG4	250373	4	Throwbacks_0	221777.46153846153	4	-0.46444214764191305
spotify:track:68vgtRHr7iZHpzGpon6Jlo	0.662	0.507	5	-8.238	1	0.118	0.257	0.0	0.0465	0.676	86.412	68vgtRHr7iZHpzGpon6Jlo	223440	4	Throwbacks_0	221777.46153846153	4	-0.46444214764191305
spotify:track:3BxWKCI06eQ5Od8TY2JBeA	0.57	0.821	2	-4.38	1	0.267	0.178	0.0	0.289	0.408	210.857	3BxWKCI06eQ5Od8TY2JBeA	225560	4	Throwbacks_0	221777.46153846153	4	-0.46444214764191305
spotify:track:7H6ev70Weq6DdpZyyTmUXk	0.713	0.678	5	-3.525	0	0.102	0.273	0.0	0.149	0.734	138.009	7H6ev70Weq6DdpZyyTmUXk	271333	4	Throwbacks_0	221777.46153846153	4	-0.46444214764191305
spotify:track:2PpruBYCo4H7WOBJ7Q2EwM	0.727	0.974	4	-2.261	0	0.0664	0.103	0.000532	0.174	0.965	79.526	2PpruBYCo4H7WOBJ7Q2EwM	235213	4	Throwbacks_0	221777.46153846153	4	-0.46444214764191305
spotify:track:2gam98EZKrF9XuOkU13ApN	0.808	0.97	10	-6.098	0	0.0506	0.0569	6.13e-05	0.154	0.868	114.328	2gam98EZKrF9XuOkU13ApN	242293	4	Throwbacks_0	221777.46153846153	4	-0.46444214764191305
spotify:track:4Y45aqo9QMa57rDsAJv40A	0.71	0.553	4	-4.722	0	0.0292	0.00206	5.48e-05	0.0469	0.731	99.005	4Y45aqo9QMa57rDsAJv40A	211693	4	Throwbacks_0	221777.46153846153	4	-0.46444214764191305
spotify:track:1HwpWwa6bnqqRhK8agG4RS	0.66	0.666	9	-4.342	1	0.0472	0.0759	0.0	0.0268	0.933	89.975	1HwpWwa6bnqqRhK8agG4RS	214227	4	Throwbacks_0	221777.46153846153	4	-0.46444214764191305
spotify:track:20ORwCJusz4KS2PbTPVNKo	0.687	0.71	9	-5.84	1	0.0522	0.0283	3.71e-06	0.0689	0.886	79.235	20ORwCJusz4KS2PbTPVNKo	216880	4	Throwbacks_0	221777.46153846153	4	-0.46444214764191305
spotify:track:7k6IzwMGpxnRghE7YosnXT	0.803	0.454	8	-4.802	0	0.0294	0.352	0.0	0.0655	0.739	99.99	7k6IzwMGpxnRghE7YosnXT	192213	4	Throwbacks_0	221777.46153846153	4	-0.46444214764191305
spotify:track:1Bv0Yl01xBDZD4OQP93fyl	0.775	0.731	8	-5.446	1	0.134	0.189	0.0	0.129	0.821	131.103	1Bv0Yl01xBDZD4OQP93fyl	256427	4	Throwbacks_0	221777.46153846153	4	-0.46444214764191305
spotify:track:4omisSlTk6Dsq2iQD7MA07	0.487	0.9	0	-4.417	1	0.0482	6.79e-05	0.0	0.358	0.484	149.937	4omisSlTk6Dsq2iQD7MA07	204000	4	Throwbacks_0	221777.46153846153	4	-0.46444214764191305
spotify:track:7xYnUQigPoIDAMPVK79NEq	0.846	0.482	1	-6.721	0	0.129	0.0246	0.0	0.393	0.212	100.969	7xYnUQigPoIDAMPVK79NEq	229867	4	Throwbacks_0	221777.46153846153	4	-0.46444214764191305
spotify:track:6d8A5sAx9TfdeseDvfWNHd	0.705	0.796	7	-6.845	1	0.267	0.0708	0.0	0.388	0.864	166.042	6d8A5sAx9TfdeseDvfWNHd	210453	4	Throwbacks_0	221777.46153846153	4	-0.46444214764191305
spotify:track:4pmc2AxSEq6g7hPVlJCPyP	0.771	0.685	1	-4.639	1	0.0567	0.00543	0.00157	0.0537	0.683	88.997	4pmc2AxSEq6g7hPVlJCPyP	230200	4	Throwbacks_0	221777.46153846153	4	-0.46444214764191305
spotify:track:215JYyyUnrJ98NK3KEwu6d	0.717	0.733	4	-4.985	1	0.0427	0.0398	0.0	0.136	0.713	119.996	215JYyyUnrJ98NK3KEwu6d	292307	4	Throwbacks_0	221777.46153846153	4	-0.46444214764191305
spotify:track:0uqPG793dkDDN7sCUJJIVC	0.835	0.687	5	-3.18	1	0.184	0.101	0.0	0.132	0.828	94.059	0uqPG793dkDDN7sCUJJIVC	272533	4	Throwbacks_0	221777.46153846153	4	-0.46444214764191305
spotify:track:19Js5ypV6JKn4DMExHQbGc	0.728	0.801	4	-3.636	1	0.0752	0.00349	0.000195	0.0907	0.813	119.989	19Js5ypV6JKn4DMExHQbGc	193043	4	Throwbacks_0	221777.46153846153	4	-0.46444214764191305
spotify:track:1JURww012QnWAw0zZXi6Aa	0.571	0.89	9	-1.6	1	0.0395	0.00509	0.0	0.0769	0.751	110.958	1JURww012QnWAw0zZXi6Aa	234147	4	Throwbacks_0	221777.46153846153	4	-0.46444214764191305
spotify:track:7DFnq8FYhHMCylykf6ZCxA	0.536	0.612	4	-5.847	1	0.272	0.119	0.0	0.209	0.57	86.768	7DFnq8FYhHMCylykf6ZCxA	229040	4	Throwbacks_0	221777.46153846153	4	-0.46444214764191305
spotify:track:1TfAhjzRBWzYZ8IdUV3igl	0.659	0.869	11	-5.858	1	0.046	0.00357	0.0	0.302	0.811	106.966	1TfAhjzRBWzYZ8IdUV3igl	201960	4	Throwbacks_0	221777.46153846153	4	-0.46444214764191305
spotify:track:1Y4ZdPOOgCUhBcKZOrUFiS	0.619	0.87	2	-4.956	1	0.501	0.41	1.37e-06	0.0571	0.94	188.772	1Y4ZdPOOgCUhBcKZOrUFiS	219773	4	Throwbacks_0	221777.46153846153	4	-0.46444214764191305
spotify:track:6MjljecHzHelUDismyKkba	0.624	0.976	8	-5.355	1	0.0494	0.004	1.18e-05	0.376	0.514	142.008	6MjljecHzHelUDismyKkba	199120	4	Throwbacks_0	221777.46153846153	4	-0.46444214764191305
spotify:track:67T6l4q3zVjC5nZZPXByU8	0.615	0.711	11	-5.507	1	0.0779	0.0444	0.0	0.145	0.711	144.036	67T6l4q3zVjC5nZZPXByU8	221253	4	Throwbacks_0	221777.46153846153	4	-0.46444214764191305
spotify:track:34ceTg8ChN5HjrqiIYCn9Q	0.673	0.683	1	-5.693	1	0.115	0.522	0.0	0.235	0.713	171.86	34ceTg8ChN5HjrqiIYCn9Q	232000	4	Throwbacks_0	221777.46153846153	4	-0.46444214764191305
